"Source","Target","Weight"
"viral","fyp",147
"fyp","viral",145
"fyp","explore",137
"fyp","raul",137
"fyp","happynation",136
"raul","viral",125
"raul","fyp",119
"golpe","estelionato",115
"happynation","viral",111
"viral","explore",105
"fyp","lifestyle",103
"fyp","777",101
"marketingdigital","happynation",101
"fyp","marketingdigital",100
"fyp","sucesso",97
"lifestyle","happynation",95
"explore","fyp",94
"happynation","sucesso",94
"estelionato","viral",92
"raul","explore",92
"marketingdigital","777",88
"lifestyle","777",87
"marketingdigital","lifestyle",87
"777","happynation",86
"fyp","estelionato",85
"marketingdigital","sucesso",84
"marketingdigital","mindset",83
"happynation","mindset",81
"lifestyle","mindset",81
"sucesso","mindset",81
"lifestyle","sucesso",80
"333","mindset",79
"777","mindset",79
"explore","viral",79
"fyp","mindset",79
"golpe","viral",79
"happynation","brasil",79
"333","sucesso",78
"777","333",78
"777","sucesso",78
"fyp","333",78
"happynation","333",78
"lifestyle","333",78
"marketingdigital","333",78
"777","brasil",77
"dinheiro","dinheiroextra",77
"fyp","brasil",77
"lifestyle","brasil",76
"marketingdigital","brasil",76
"viral","raul",76
"333","brasil",75
"estelionatario","estelionato",75
"explore","raul",75
"dinheiro","dinheiroonline",73
"fyp","dinheiro",73
"reels","viral",72
"dinheiro","happynation",70
"dinheiro","estelionato",69
"fyp","171",69
"sucesso","brasil",68
"fyp","estelionatario",67
"tropado7","viral",67
"171","estelionato",66
"estelionato","estelionatario",64
"mindset","brasil",64
"estelionato","golpe",63
"fyp","tropado7",63
"happynation","estelionato",63
"happynation","golpe",63
"fyp","reels",62
"raul","bigode",61
"171","estelionatario",60
"reels","explore",60
"fyp","meme",59
"dinheiro","sucesso",58
"happynation","dinheiro",58
"dinheiro","viral",56
"viral","171",54
"dinheiro","estelionatario",53
"happynation","fyp",52
"tropado7","raul",51
"fyp","7",50
"viral","estelionato",50
"dinheiro","fyp",49
"dinheiroextra","estelionatario",49
"dinheiroextra","estelionato",49
"estelionatario","viral",49
"estelionato","dinheiro",49
"explore","estelionato",48
"tropado7","fyp",48
"viral","dinheiro",48
"humor","viral",46
"171","fyp",45
"reels","raul",45
"fyp","dinheiroonline",44
"raul","estelionatario",44
"viral","reels",43
"dinheiroonline","viral",42
"raul","kit",42
"tropado7","estelionatario",42
"viral","estelionatario",42
"reels","estelionato",41
"tropado7","dinheiro",41
"estelionatario","171",40
"reels","fyp",40
"golpe","estelionatario",39
"estelionato","7",38
"kit","ft",38
"kit","viral",38
"nike","raul",38
"raul","estelionato",38
"raul","ft",38
"viral","ft",38
"estelionatario","dinheiro",37
"estelionatario","golpe",37
"marketingdigital","viral",37
"tropado7","171",37
"tropado7","explore",37
"viral","happynation",37
"dinheiro","tropado7",36
"raul","7",36
"reels","estelionatario",36
"tropado7","7",36
"tropado7","estelionato",36
"viral","meme",36
"direito","estelionato",35
"explore","dinheiro",35
"marketingdigital","estelionatario",35
"171","viral",34
